vertice(2, 80).
edge(2, 94, 89).
edge(2, 94, 90).
vertice(2, 94).
edge(2, 94, 99).
edge(2, 94, 100).
edge(2, 94, 102).
edge(2, 94, 109).
edge(2, 94, 112).
edge(2, 94, 114).
edge(2, 94, 118).
edge(2, 95, 81).
edge(2, 95, 83).
edge(2, 95, 88).
edge(2, 95, 90).
edge(2, 95, 92).
vertice(2, 95).
edge(2, 95, 97).
edge(2, 95, 105).
edge(2, 95, 108).
edge(2, 95, 110).
edge(2, 95, 115).
edge(2, 95, 117).
edge(2, 95, 118).
edge(2, 96, 84).
edge(2, 96, 85).
edge(2, 96, 92).
edge(2, 96, 93).
vertice(2, 96).
edge(2, 96, 102).
edge(2, 96, 103).
edge(2, 96, 107).
edge(2, 96, 111).
edge(2, 96, 112).
edge(2, 96, 117).
edge(2, 96, 119).
edge(2, 97, 89).
edge(2, 97, 95).
vertice(2, 97).
edge(2, 97, 103).
edge(2, 97, 105).
edge(2, 97, 106).
edge(2, 97, 109).
edge(2, 97, 115).
edge(2, 97, 119).
edge(2, 98, 80).
edge(2, 98, 81).
edge(2, 98, 84).
edge(2, 98, 85).
edge(2, 98, 89).
edge(2, 98, 90).
edge(2, 98, 91).
edge(2, 98, 92).
vertice(2, 98).
edge(2, 98, 100).
edge(2, 98, 101).
edge(2, 98, 102).
edge(2, 98, 105).
edge(2, 98, 109).
edge(2, 98, 110).
edge(2, 98, 111).
edge(2, 98, 115).
edge(2, 99, 85).
edge(2, 99, 88).
edge(2, 99, 89).
edge(2, 99, 90).
edge(2, 99, 93).
edge(2, 99, 94).
vertice(2, 99).
edge(2, 99, 102).
edge(2, 99, 105).
edge(2, 99, 106).
edge(2, 99, 112).
edge(2, 99, 115).
edge(2, 99, 117).
edge(2, 100, 80).
edge(2, 100, 81).
edge(2, 100, 84).
edge(2, 100, 85).
edge(2, 100, 87).
edge(2, 100, 89).
edge(2, 100, 90).
edge(2, 100, 91).
edge(2, 100, 94).
edge(2, 100, 98).
vertice(2, 100).
edge(0, 100, 27).
edge(2, 100, 101).
edge(2, 100, 102).
edge(2, 100, 104).
edge(2, 100, 105).
edge(2, 100, 107).
edge(2, 100, 112).
edge(2, 100, 116).
edge(2, 101, 80).
edge(2, 101, 81).
edge(2, 101, 85).
edge(2, 101, 87).
edge(2, 101, 90).
edge(2, 101, 98).
edge(2, 101, 100).
vertice(2, 101).
edge(2, 101, 102).
edge(2, 101, 105).
edge(2, 101, 106).
edge(2, 101, 113).
edge(2, 101, 114).
edge(2, 101, 118).
edge(2, 102, 81).
edge(2, 102, 86).
edge(2, 102, 92).
edge(2, 102, 94).
edge(2, 102, 96).
edge(2, 102, 98).
edge(2, 102, 99).
edge(2, 102, 100).
edge(2, 102, 101).
vertice(2, 102).
edge(3, 102, 135).
edge(2, 102, 103).
edge(2, 102, 105).
edge(2, 102, 110).
edge(2, 102, 114).
edge(2, 102, 116).
edge(2, 102, 119).
edge(2, 103, 80).
edge(2, 103, 82).
edge(2, 103, 88).
edge(2, 103, 93).
edge(2, 103, 96).
edge(2, 103, 97).
edge(2, 103, 102).
vertice(2, 103).
edge(2, 103, 105).
edge(2, 103, 107).
edge(2, 103, 108).
edge(2, 103, 112).
edge(2, 103, 118).
edge(2, 104, 82).
edge(2, 104, 86).
edge(2, 104, 89).
edge(2, 104, 90).
edge(2, 104, 92).
edge(2, 104, 100).
vertice(2, 104).
edge(2, 104, 105).
edge(2, 104, 108).
edge(2, 104, 115).
edge(2, 104, 118).
edge(2, 105, 80).
edge(2, 105, 87).
edge(2, 105, 90).
edge(2, 105, 91).
edge(2, 105, 95).
edge(2, 105, 97).
edge(2, 105, 98).
edge(2, 105, 99).
edge(2, 105, 100).
edge(2, 105, 101).
edge(2, 105, 102).
edge(2, 105, 103).
edge(2, 105, 104).
vertice(2, 105).
edge(2, 105, 108).
edge(2, 105, 109).
edge(2, 105, 112).
edge(2, 105, 116).
edge(2, 106, 84).
edge(2, 106, 86).
edge(2, 106, 87).
edge(2, 106, 92).
edge(2, 106, 93).
edge(2, 106, 97).
edge(2, 106, 99).
edge(2, 106, 101).
vertice(2, 106).
edge(2, 106, 112).
edge(2, 106, 113).
edge(2, 106, 114).
edge(2, 106, 115).
edge(2, 107, 84).
edge(2, 107, 89).
edge(2, 107, 96).
edge(2, 107, 100).
edge(2, 107, 103).
vertice(2, 107).
edge(2, 107, 109).
edge(2, 107, 110).
edge(2, 107, 112).
edge(2, 107, 113).
edge(2, 107, 118).
edge(2, 108, 87).
edge(2, 108, 91).
edge(2, 108, 92).
edge(2, 108, 95).
edge(2, 108, 103).
edge(2, 108, 104).
edge(2, 108, 105).
vertice(2, 108).
edge(2, 108, 111).
edge(2, 108, 112).
edge(2, 108, 115).
edge(2, 108, 117).
edge(2, 109, 81).
edge(2, 109, 84).
edge(2, 109, 87).
edge(2, 109, 93).
edge(2, 109, 94).
edge(2, 109, 97).
edge(2, 109, 98).
edge(2, 109, 105).
edge(2, 109, 107).
vertice(2, 109).
edge(2, 109, 112).
edge(2, 109, 113).
edge(2, 109, 117).
edge(2, 109, 118).
edge(2, 110, 80).
edge(2, 110, 86).
edge(2, 110, 88).
edge(2, 110, 90).
edge(2, 110, 91).
edge(2, 110, 92).
edge(2, 110, 95).
edge(2, 110, 98).
edge(2, 110, 102).
edge(2, 110, 107).
vertice(2, 110).
edge(3, 110, 150).
edge(2, 110, 116).
edge(2, 111, 81).
edge(2, 111, 83).
edge(2, 111, 86).
edge(2, 111, 89).
edge(2, 111, 91).
edge(2, 111, 96).
edge(2, 111, 98).
edge(2, 111, 108).
vertice(2, 111).
edge(2, 111, 112).
edge(2, 111, 115).
edge(2, 111, 117).
edge(2, 112, 80).
edge(2, 112, 82).
edge(2, 112, 87).
edge(2, 112, 89).
edge(2, 112, 90).
edge(2, 112, 91).
edge(2, 112, 94).
edge(2, 112, 96).
edge(2, 112, 99).
edge(2, 112, 100).
edge(2, 112, 103).
edge(2, 112, 105).
edge(2, 112, 106).
edge(2, 112, 107).
edge(2, 112, 108).
edge(2, 112, 109).
edge(2, 112, 111).
vertice(2, 112).
edge(2, 112, 114).
edge(2, 112, 119).
edge(2, 113, 84).
edge(2, 113, 87).
edge(2, 113, 88).
edge(2, 113, 92).
edge(2, 113, 101).
edge(2, 113, 106).
edge(2, 113, 107).
edge(2, 113, 109).
vertice(2, 113).
edge(2, 113, 119).
edge(2, 114, 84).
edge(2, 114, 87).
edge(2, 114, 88).
edge(2, 114, 93).
edge(2, 114, 94).
edge(2, 114, 101).
edge(2, 114, 102).
edge(2, 114, 106).
edge(2, 114, 112).
vertice(2, 114).
edge(2, 114, 119).
edge(2, 115, 80).
edge(2, 115, 81).
edge(2, 115, 85).
edge(2, 115, 87).
edge(2, 115, 88).
edge(2, 115, 89).
edge(2, 115, 91).
edge(2, 115, 93).
edge(2, 115, 95).
edge(2, 115, 97).
edge(2, 115, 98).
edge(2, 115, 99).
edge(2, 115, 104).
edge(2, 115, 106).
edge(2, 115, 108).
edge(2, 115, 111).
vertice(2, 115).
edge(2, 115, 119).
edge(2, 116, 82).
edge(2, 116, 84).
edge(2, 116, 88).
edge(2, 116, 90).
edge(2, 116, 92).
edge(2, 116, 100).
edge(2, 116, 102).
edge(2, 116, 105).
edge(2, 116, 110).
vertice(2, 116).
edge(2, 117, 80).
edge(2, 117, 81).
edge(2, 117, 84).
edge(2, 117, 85).
edge(2, 117, 87).
edge(2, 117, 90).
edge(2, 117, 95).
edge(2, 117, 96).
edge(2, 117, 99).
edge(2, 117, 108).
edge(2, 117, 109).
edge(2, 117, 111).
vertice(2, 117).
edge(2, 118, 80).
edge(2, 118, 81).
edge(2, 118, 89).
edge(2, 118, 90).
edge(2, 118, 94).
edge(2, 118, 95).
edge(2, 118, 101).
edge(2, 118, 103).
edge(2, 118, 104).
edge(2, 118, 107).
edge(2, 118, 109).
vertice(2, 118).
edge(2, 119, 82).
edge(2, 119, 86).
edge(2, 119, 87).
edge(2, 119, 91).
edge(2, 119, 96).
edge(2, 119, 97).
edge(2, 119, 102).
edge(2, 119, 112).
edge(2, 119, 113).
edge(2, 119, 114).
edge(2, 119, 115).
vertice(2, 119).
