vertice(3, 120).
edge(3, 136, 146).
edge(3, 136, 149).
edge(3, 136, 150).
edge(3, 136, 158).
edge(3, 136, 159).
edge(3, 137, 120).
edge(3, 137, 124).
edge(3, 137, 127).
edge(3, 137, 128).
edge(3, 137, 130).
edge(3, 137, 132).
vertice(3, 137).
edge(3, 137, 139).
edge(3, 137, 142).
edge(3, 137, 143).
edge(3, 137, 147).
edge(3, 137, 157).
edge(3, 138, 120).
edge(3, 138, 123).
vertice(3, 138).
edge(3, 138, 146).
edge(3, 138, 147).
edge(3, 138, 149).
edge(3, 138, 150).
edge(3, 138, 152).
edge(3, 138, 153).
edge(3, 138, 154).
edge(3, 138, 155).
edge(3, 138, 156).
edge(3, 138, 159).
edge(3, 139, 120).
edge(3, 139, 126).
edge(3, 139, 129).
edge(3, 139, 131).
edge(3, 139, 132).
edge(3, 139, 135).
edge(3, 139, 137).
vertice(3, 139).
edge(3, 139, 140).
edge(3, 139, 142).
edge(3, 139, 149).
edge(3, 139, 151).
edge(3, 139, 154).
edge(3, 140, 121).
edge(3, 140, 122).
edge(3, 140, 126).
edge(3, 140, 133).
edge(3, 140, 139).
vertice(3, 140).
edge(3, 140, 145).
edge(3, 140, 148).
edge(3, 140, 153).
edge(3, 140, 154).
edge(3, 140, 155).
edge(3, 141, 122).
edge(3, 141, 127).
edge(3, 141, 135).
vertice(3, 141).
edge(3, 141, 143).
edge(3, 141, 145).
edge(3, 141, 150).
edge(3, 141, 152).
edge(3, 141, 153).
edge(3, 141, 157).
edge(3, 141, 159).
edge(3, 142, 120).
edge(3, 142, 122).
edge(3, 142, 128).
edge(3, 142, 133).
edge(3, 142, 137).
edge(3, 142, 139).
vertice(3, 142).
edge(3, 142, 144).
edge(3, 142, 145).
edge(3, 142, 146).
edge(3, 142, 151).
edge(3, 142, 152).
edge(3, 142, 155).
edge(3, 143, 122).
edge(3, 143, 123).
edge(3, 143, 131).
edge(3, 143, 132).
edge(3, 143, 137).
edge(3, 143, 141).
vertice(3, 143).
edge(3, 143, 144).
edge(3, 143, 148).
edge(3, 143, 149).
edge(3, 143, 159).
edge(3, 144, 120).
edge(3, 144, 121).
edge(3, 144, 125).
edge(3, 144, 128).
edge(3, 144, 129).
edge(3, 144, 133).
edge(3, 144, 134).
edge(3, 144, 135).
edge(3, 144, 136).
edge(3, 144, 142).
edge(3, 144, 143).
vertice(3, 144).
edge(3, 144, 145).
edge(3, 144, 148).
edge(3, 144, 151).
edge(3, 144, 152).
edge(3, 144, 154).
edge(3, 144, 155).
edge(3, 145, 128).
edge(3, 145, 129).
edge(3, 145, 130).
edge(3, 145, 140).
edge(3, 145, 141).
edge(3, 145, 142).
edge(3, 145, 144).
vertice(3, 145).
edge(3, 145, 147).
edge(3, 145, 149).
edge(3, 145, 151).
edge(3, 145, 153).
edge(3, 145, 156).
edge(3, 145, 159).
edge(3, 146, 120).
edge(3, 146, 122).
edge(3, 146, 125).
edge(3, 146, 127).
edge(3, 146, 132).
edge(3, 146, 136).
edge(3, 146, 138).
edge(3, 146, 142).
vertice(3, 146).
edge(3, 146, 147).
edge(3, 146, 150).
edge(3, 146, 154).
edge(3, 146, 156).
edge(3, 147, 121).
edge(3, 147, 131).
edge(3, 147, 132).
edge(3, 147, 134).
edge(3, 147, 135).
edge(3, 147, 137).
edge(3, 147, 138).
edge(3, 147, 145).
edge(3, 147, 146).
vertice(3, 147).
edge(3, 147, 151).
edge(3, 148, 122).
edge(3, 148, 124).
edge(3, 148, 126).
edge(3, 148, 127).
edge(3, 148, 128).
edge(3, 148, 132).
edge(3, 148, 135).
edge(3, 148, 140).
edge(3, 148, 143).
edge(3, 148, 144).
vertice(3, 148).
edge(3, 148, 150).
edge(3, 148, 151).
edge(3, 148, 156).
edge(3, 148, 157).
edge(3, 149, 120).
edge(3, 149, 123).
edge(3, 149, 126).
edge(3, 149, 130).
edge(3, 149, 131).
edge(3, 149, 132).
edge(3, 149, 134).
edge(3, 149, 136).
edge(3, 149, 138).
edge(3, 149, 139).
edge(3, 149, 143).
edge(3, 149, 145).
vertice(3, 149).
edge(3, 149, 152).
edge(3, 149, 158).
edge(3, 150, 120).
edge(3, 150, 123).
edge(3, 150, 124).
edge(3, 150, 125).
edge(3, 150, 134).
edge(3, 150, 136).
edge(3, 150, 138).
edge(3, 150, 141).
edge(3, 150, 146).
edge(3, 150, 148).
vertice(3, 150).
edge(2, 150, 110).
edge(3, 150, 152).
edge(3, 150, 154).
edge(3, 150, 158).
edge(3, 151, 124).
edge(3, 151, 127).
edge(3, 151, 129).
edge(3, 151, 130).
edge(3, 151, 134).
edge(3, 151, 135).
edge(3, 151, 139).
edge(3, 151, 142).
edge(3, 151, 144).
edge(3, 151, 145).
edge(3, 151, 147).
edge(3, 151, 148).
vertice(3, 151).
edge(3, 151, 158).
edge(3, 152, 121).
edge(3, 152, 122).
edge(3, 152, 125).
edge(3, 152, 131).
edge(3, 152, 133).
edge(3, 152, 134).
edge(3, 152, 138).
edge(3, 152, 141).
edge(3, 152, 142).
edge(3, 152, 144).
edge(3, 152, 149).
edge(3, 152, 150).
vertice(3, 152).
edge(3, 153, 120).
edge(3, 153, 122).
edge(3, 153, 123).
edge(3, 153, 125).
edge(3, 153, 128).
edge(3, 153, 130).
edge(3, 153, 131).
edge(3, 153, 135).
edge(3, 153, 138).
edge(3, 153, 140).
edge(3, 153, 141).
edge(3, 153, 145).
vertice(3, 153).
edge(3, 153, 156).
edge(3, 154, 128).
edge(3, 154, 130).
edge(3, 154, 132).
edge(3, 154, 133).
edge(3, 154, 134).
edge(3, 154, 138).
edge(3, 154, 139).
edge(3, 154, 140).
edge(3, 154, 144).
edge(3, 154, 146).
edge(3, 154, 150).
vertice(3, 154).
edge(3, 154, 155).
edge(3, 154, 159).
edge(3, 155, 123).
edge(3, 155, 125).
edge(3, 155, 126).
edge(3, 155, 129).
edge(3, 155, 130).
edge(3, 155, 132).
edge(3, 155, 138).
edge(3, 155, 140).
edge(3, 155, 142).
edge(3, 155, 144).
edge(3, 155, 154).
vertice(3, 155).
edge(3, 155, 156).
edge(3, 155, 158).
edge(3, 155, 159).
edge(3, 156, 125).
edge(3, 156, 127).
edge(3, 156, 132).
edge(3, 156, 133).
edge(3, 156, 135).
edge(3, 156, 138).
edge(3, 156, 145).
edge(3, 156, 146).
edge(3, 156, 148).
edge(3, 156, 153).
edge(3, 156, 155).
vertice(3, 156).
edge(3, 156, 158).
edge(3, 157, 120).
edge(3, 157, 124).
edge(3, 157, 131).
edge(3, 157, 137).
edge(3, 157, 141).
edge(3, 157, 148).
vertice(3, 157).
edge(3, 157, 159).
edge(3, 158, 120).
edge(3, 158, 125).
edge(3, 158, 133).
edge(3, 158, 136).
edge(3, 158, 149).
edge(3, 158, 150).
edge(3, 158, 151).
edge(3, 158, 155).
edge(3, 158, 156).
vertice(3, 158).
edge(3, 158, 159).
edge(3, 159, 126).
edge(3, 159, 127).
edge(3, 159, 129).
edge(3, 159, 134).
edge(3, 159, 136).
edge(3, 159, 138).
edge(3, 159, 141).
edge(3, 159, 143).
edge(3, 159, 145).
edge(3, 159, 154).
edge(3, 159, 155).
edge(3, 159, 157).
edge(3, 159, 158).
vertice(3, 159).
