vertice(1, 40).
edge(1, 47, 60).
edge(1, 47, 63).
edge(1, 47, 65).
edge(1, 47, 66).
edge(1, 47, 73).
edge(1, 47, 74).
edge(1, 47, 75).
edge(1, 48, 42).
edge(1, 48, 43).
edge(1, 48, 44).
edge(1, 48, 46).
vertice(1, 48).
edge(1, 48, 50).
edge(1, 48, 54).
edge(1, 48, 57).
edge(1, 48, 58).
edge(1, 48, 59).
edge(1, 48, 64).
edge(1, 48, 66).
edge(1, 48, 72).
edge(1, 48, 76).
edge(1, 48, 77).
edge(1, 48, 79).
edge(1, 49, 43).
edge(1, 49, 44).
vertice(1, 49).
edge(1, 49, 52).
edge(1, 49, 53).
edge(1, 49, 54).
edge(1, 49, 59).
edge(1, 49, 61).
edge(1, 49, 62).
edge(1, 49, 63).
edge(1, 49, 64).
edge(1, 49, 65).
edge(1, 49, 68).
edge(1, 49, 72).
edge(1, 49, 74).
edge(1, 49, 76).
edge(1, 49, 77).
edge(1, 49, 78).
edge(1, 50, 40).
edge(1, 50, 42).
edge(1, 50, 43).
edge(1, 50, 46).
edge(1, 50, 47).
edge(1, 50, 48).
vertice(1, 50).
edge(1, 50, 55).
edge(1, 50, 63).
edge(1, 50, 65).
edge(1, 50, 67).
edge(1, 50, 68).
edge(1, 50, 72).
edge(1, 51, 42).
edge(1, 51, 44).
vertice(1, 51).
edge(1, 51, 53).
edge(1, 51, 55).
edge(1, 51, 57).
edge(1, 51, 58).
edge(1, 51, 65).
edge(1, 51, 66).
edge(1, 51, 69).
edge(1, 51, 75).
edge(1, 51, 78).
edge(1, 51, 79).
edge(1, 52, 42).
edge(1, 52, 43).
edge(1, 52, 46).
edge(1, 52, 49).
vertice(1, 52).
edge(1, 52, 55).
edge(1, 52, 56).
edge(1, 52, 59).
edge(1, 52, 61).
edge(1, 52, 63).
edge(1, 52, 66).
edge(1, 52, 68).
edge(1, 52, 70).
edge(1, 52, 76).
edge(1, 52, 77).
edge(1, 53, 45).
edge(1, 53, 46).
edge(1, 53, 49).
edge(1, 53, 51).
vertice(1, 53).
edge(2, 53, 84).
edge(1, 53, 56).
edge(1, 53, 59).
edge(1, 53, 60).
edge(1, 53, 61).
edge(1, 53, 62).
edge(1, 53, 63).
edge(1, 53, 67).
edge(1, 53, 69).
edge(1, 53, 76).
edge(1, 53, 79).
edge(1, 54, 41).
edge(1, 54, 43).
edge(1, 54, 46).
edge(1, 54, 47).
edge(1, 54, 48).
edge(1, 54, 49).
vertice(1, 54).
edge(1, 54, 58).
edge(1, 54, 60).
edge(1, 54, 68).
edge(1, 54, 77).
edge(1, 54, 79).
edge(1, 55, 41).
edge(1, 55, 47).
edge(1, 55, 50).
edge(1, 55, 51).
edge(1, 55, 52).
vertice(1, 55).
edge(1, 55, 56).
edge(1, 55, 58).
edge(1, 55, 59).
edge(1, 55, 63).
edge(1, 55, 66).
edge(1, 55, 67).
edge(1, 55, 68).
edge(1, 55, 71).
edge(1, 55, 78).
edge(1, 56, 45).
edge(1, 56, 47).
edge(1, 56, 52).
edge(1, 56, 53).
edge(1, 56, 55).
vertice(1, 56).
edge(1, 56, 66).
edge(1, 56, 70).
edge(1, 56, 71).
edge(1, 56, 72).
edge(1, 56, 73).
edge(1, 56, 76).
edge(1, 56, 77).
edge(1, 57, 41).
edge(1, 57, 42).
edge(1, 57, 44).
edge(1, 57, 48).
edge(1, 57, 51).
vertice(1, 57).
edge(1, 57, 63).
edge(1, 57, 70).
edge(1, 57, 71).
edge(1, 57, 72).
edge(1, 57, 78).
edge(1, 57, 79).
edge(1, 58, 41).
edge(1, 58, 46).
edge(1, 58, 48).
edge(1, 58, 51).
edge(1, 58, 54).
edge(1, 58, 55).
vertice(1, 58).
edge(1, 58, 60).
edge(1, 58, 62).
edge(1, 58, 64).
edge(1, 58, 65).
edge(1, 58, 68).
edge(1, 58, 71).
edge(1, 58, 72).
edge(1, 58, 74).
edge(1, 58, 78).
edge(1, 58, 79).
edge(1, 59, 40).
edge(1, 59, 41).
edge(1, 59, 44).
edge(1, 59, 48).
edge(1, 59, 49).
edge(1, 59, 52).
edge(1, 59, 53).
edge(1, 59, 55).
vertice(1, 59).
edge(1, 59, 63).
edge(1, 59, 72).
edge(1, 59, 75).
edge(1, 60, 41).
edge(1, 60, 42).
edge(1, 60, 46).
edge(1, 60, 47).
edge(1, 60, 53).
edge(1, 60, 54).
edge(1, 60, 58).
vertice(1, 60).
edge(1, 60, 62).
edge(1, 60, 63).
edge(1, 60, 67).
edge(1, 60, 70).
edge(1, 60, 74).
edge(1, 61, 45).
edge(1, 61, 49).
edge(1, 61, 52).
edge(1, 61, 53).
vertice(1, 61).
edge(1, 61, 62).
edge(1, 61, 64).
edge(1, 61, 65).
edge(1, 61, 68).
edge(1, 61, 69).
edge(1, 61, 70).
edge(1, 61, 72).
edge(1, 61, 77).
edge(1, 62, 40).
edge(1, 62, 45).
edge(1, 62, 49).
edge(1, 62, 53).
edge(1, 62, 58).
edge(1, 62, 60).
edge(1, 62, 61).
vertice(1, 62).
edge(0, 62, 23).
edge(1, 62, 63).
edge(1, 62, 67).
edge(1, 62, 74).
edge(1, 63, 40).
edge(1, 63, 44).
edge(1, 63, 47).
edge(1, 63, 49).
edge(1, 63, 50).
edge(1, 63, 52).
edge(1, 63, 53).
edge(1, 63, 55).
edge(1, 63, 57).
edge(1, 63, 59).
edge(1, 63, 60).
edge(1, 63, 62).
vertice(1, 63).
edge(1, 63, 65).
edge(1, 63, 68).
edge(1, 63, 72).
edge(1, 63, 77).
edge(1, 63, 78).
edge(1, 64, 40).
edge(1, 64, 41).
edge(1, 64, 44).
edge(1, 64, 46).
edge(1, 64, 48).
edge(1, 64, 49).
edge(1, 64, 58).
edge(1, 64, 61).
vertice(1, 64).
edge(1, 64, 67).
edge(1, 64, 69).
edge(1, 64, 70).
edge(1, 64, 72).
edge(1, 64, 73).
edge(1, 64, 76).
edge(1, 65, 40).
edge(1, 65, 42).
edge(1, 65, 45).
edge(1, 65, 47).
edge(1, 65, 49).
edge(1, 65, 50).
edge(1, 65, 51).
edge(1, 65, 58).
edge(1, 65, 61).
edge(1, 65, 63).
vertice(1, 65).
edge(1, 65, 66).
edge(1, 65, 69).
edge(1, 65, 79).
edge(1, 66, 40).
edge(1, 66, 43).
edge(1, 66, 47).
edge(1, 66, 48).
edge(1, 66, 51).
edge(1, 66, 52).
edge(1, 66, 55).
edge(1, 66, 56).
edge(1, 66, 65).
vertice(1, 66).
edge(1, 66, 67).
edge(1, 66, 68).
edge(1, 66, 69).
edge(1, 66, 70).
edge(1, 67, 41).
edge(1, 67, 50).
edge(1, 67, 53).
edge(1, 67, 55).
edge(1, 67, 60).
edge(1, 67, 62).
edge(1, 67, 64).
edge(1, 67, 66).
vertice(1, 67).
edge(1, 67, 68).
edge(1, 67, 70).
edge(1, 67, 73).
edge(1, 68, 40).
edge(1, 68, 41).
edge(1, 68, 45).
edge(1, 68, 49).
edge(1, 68, 50).
edge(1, 68, 52).
edge(1, 68, 54).
edge(1, 68, 55).
edge(1, 68, 58).
edge(1, 68, 61).
edge(1, 68, 63).
edge(1, 68, 66).
edge(1, 68, 67).
vertice(1, 68).
edge(1, 68, 70).
edge(1, 68, 78).
edge(1, 69, 43).
edge(1, 69, 44).
edge(1, 69, 51).
edge(1, 69, 53).
edge(1, 69, 61).
edge(1, 69, 64).
edge(1, 69, 65).
edge(1, 69, 66).
vertice(1, 69).
edge(1, 69, 71).
edge(1, 69, 73).
edge(1, 70, 43).
edge(1, 70, 45).
edge(1, 70, 52).
edge(1, 70, 56).
edge(1, 70, 57).
edge(1, 70, 60).
edge(1, 70, 61).
edge(1, 70, 64).
edge(1, 70, 66).
edge(1, 70, 67).
edge(1, 70, 68).
vertice(1, 70).
edge(1, 70, 71).
edge(1, 70, 73).
edge(1, 70, 74).
edge(1, 70, 78).
edge(1, 70, 79).
edge(1, 71, 41).
edge(1, 71, 55).
edge(1, 71, 56).
edge(1, 71, 57).
edge(1, 71, 58).
edge(1, 71, 69).
edge(1, 71, 70).
vertice(1, 71).
edge(1, 71, 73).
edge(1, 72, 40).
edge(1, 72, 41).
edge(1, 72, 45).
edge(1, 72, 48).
edge(1, 72, 49).
edge(1, 72, 50).
edge(1, 72, 56).
edge(1, 72, 57).
edge(1, 72, 58).
edge(1, 72, 59).
edge(1, 72, 61).
edge(1, 72, 63).
edge(1, 72, 64).
vertice(1, 72).
edge(1, 72, 77).
edge(1, 73, 40).
edge(1, 73, 43).
edge(1, 73, 47).
edge(1, 73, 56).
edge(1, 73, 64).
edge(1, 73, 67).
edge(1, 73, 69).
edge(1, 73, 70).
edge(1, 73, 71).
vertice(1, 73).
edge(1, 73, 74).
edge(1, 73, 75).
edge(1, 73, 77).
edge(1, 73, 78).
edge(1, 74, 40).
edge(1, 74, 41).
edge(1, 74, 42).
edge(1, 74, 47).
edge(1, 74, 49).
edge(1, 74, 58).
edge(1, 74, 60).
edge(1, 74, 62).
edge(1, 74, 70).
edge(1, 74, 73).
vertice(1, 74).
edge(1, 74, 78).
edge(1, 75, 40).
edge(1, 75, 42).
edge(1, 75, 47).
edge(1, 75, 51).
edge(1, 75, 59).
edge(1, 75, 73).
vertice(1, 75).
edge(1, 75, 79).
edge(1, 76, 40).
edge(1, 76, 41).
edge(1, 76, 48).
edge(1, 76, 49).
edge(1, 76, 52).
edge(1, 76, 53).
edge(1, 76, 56).
edge(1, 76, 64).
vertice(1, 76).
edge(1, 76, 77).
edge(1, 76, 78).
edge(1, 76, 79).
edge(1, 77, 40).
edge(1, 77, 41).
edge(1, 77, 48).
edge(1, 77, 49).
edge(1, 77, 52).
edge(1, 77, 54).
edge(1, 77, 56).
edge(1, 77, 61).
edge(1, 77, 63).
edge(1, 77, 72).
edge(1, 77, 73).
edge(1, 77, 76).
vertice(1, 77).
edge(1, 78, 42).
edge(1, 78, 49).
edge(1, 78, 51).
edge(1, 78, 55).
edge(1, 78, 57).
edge(1, 78, 58).
edge(1, 78, 63).
edge(1, 78, 68).
edge(1, 78, 70).
edge(1, 78, 73).
edge(1, 78, 74).
edge(1, 78, 76).
vertice(1, 78).
edge(1, 78, 79).
edge(1, 79, 43).
edge(1, 79, 45).
edge(1, 79, 46).
edge(1, 79, 48).
edge(1, 79, 51).
edge(1, 79, 53).
edge(1, 79, 54).
edge(1, 79, 57).
edge(1, 79, 58).
edge(1, 79, 65).
edge(1, 79, 70).
edge(1, 79, 75).
edge(1, 79, 76).
edge(1, 79, 78).
vertice(1, 79).

