vertice(0, 0).
edge(0, 35, 12).
edge(0, 35, 13).
edge(0, 35, 15).
edge(0, 35, 17).
edge(0, 35, 18).
edge(0, 35, 21).
edge(0, 35, 22).
edge(0, 35, 30).
vertice(0, 35).
edge(0, 36, 1).
edge(0, 36, 7).
edge(0, 36, 9).
edge(0, 36, 10).
edge(0, 36, 11).
edge(0, 36, 15).
edge(0, 36, 16).
edge(0, 36, 19).
edge(0, 36, 21).
edge(0, 36, 22).
edge(0, 36, 23).
edge(0, 36, 30).
edge(0, 36, 31).
edge(0, 36, 34).
vertice(0, 36).
edge(0, 37, 2).
edge(0, 37, 3).
edge(0, 37, 9).
edge(0, 37, 12).
edge(0, 37, 14).
edge(0, 37, 16).
edge(0, 37, 25).
edge(0, 37, 27).
edge(0, 37, 28).
vertice(0, 37).
edge(0, 37, 38).
edge(0, 38, 0).
edge(0, 38, 12).
edge(0, 38, 13).
edge(0, 38, 21).
edge(0, 38, 24).
edge(0, 38, 26).
edge(0, 38, 30).
edge(0, 38, 37).
vertice(0, 38).
edge(0, 39, 4).
edge(0, 39, 7).
edge(0, 39, 17).
edge(0, 39, 19).
edge(0, 39, 20).
edge(0, 39, 21).
edge(0, 39, 22).
edge(0, 39, 23).
edge(0, 39, 24).
edge(0, 39, 31).
edge(0, 39, 34).
vertice(0, 39).
